"TASK","DATASET NAME","DATASET LINK","PREFERRED METRIC","LICENSE","LICENSE URL","STARTER CODE","SHORT DESCRIPTION FILE","LONG DESCRIPTION FILE"
"NER","RONEC - Romanian Named Entity Corpus v1.0","https://github.com/dumitrescustefan/ronec","Exact Match F1","MIT","https://mit-license.org/",,"RONEC-v1.0-site.md","RONEC-v1.0.md"
"Tokenization","UD Romanian RRT Treebank v2.5 - Tokenization","https://universaldependencies.org/","Tokens F1","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"UniversalDependencies-RO-RRT-v2.5-site.md","UniversalDependencies-RO-RRT-v2.5.md"
"Sentence Segmentation","UD Romanian RRT Treebank v2.5 - Sentence Segmentation","https://universaldependencies.org/","Sentences F1","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"UniversalDependencies-RO-RRT-v2.5-site.md","UniversalDependencies-RO-RRT-v2.5.md"
"Lemmatization","UD Romanian RRT Treebank v2.5 - Lemmatization","https://universaldependencies.org/","Lemma F1","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"UniversalDependencies-RO-RRT-v2.5-site.md","UniversalDependencies-RO-RRT-v2.5.md"
"POS Tagging","UD Romanian RRT Treebank v2.5 - Part of Speech Tagging","https://universaldependencies.org/","UPOS F1","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"UniversalDependencies-RO-RRT-v2.5-site.md","UniversalDependencies-RO-RRT-v2.5.md"
"Dependency Parsing","UD Romanian RRT Treebank v2.5 - Dependency Parsing","https://universaldependencies.org/","UAS F1","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"UniversalDependencies-RO-RRT-v2.5-site.md","UniversalDependencies-RO-RRT-v2.5.md"
"Sentiment Analysis","LaRoSeDa","https://github.com/ancatache/LaRoSeDa","F1 (macro)","CC BY-NC-SA 4.0","https://creativecommons.org/licenses/by-nc-sa/4.0/",,"LaRoSeDa-site.md","LaRoSeDa.md"
"Text Categorization by Topic","MOROCO","https://github.com/butnaruandrei/MOROCO","F1 (macro)","CC BY-NC-SA 4.0","https://creativecommons.org/licenses/by-nc-sa/4.0/",,"MOROCO-site.md","MOROCO.md"
"Semantic Textual Similarity","RO-STS","https://github.com/dumitrescustefan/RO-STS","Pearson Correlation","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"RO-STS-site.md","RO-STS.md"
"Machine Translation","RO-STS-parallel","https://github.com/dumitrescustefan/RO-STS","BLEU","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"RO-STS-parallel-site.md","RO-STS-parallel.md"
"Machine Translation","WMT16-EN-RO","https://www.statmt.org/wmt16/translation-task.html#download","BLEU","n/a","n/a",,"WMT16-EN-RO-site.md","WMT16-EN-RO.md"
"Question Answering","XQuAD-ro","https://github.com/deepmind/xquad","F1 (macro)","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"XQuAD-ro-site.md","XQuAD-ro.md"
"Cross-domain POS Tagging","UD Romanian RRT Treebank v2.8 - cross-domain PoS tagging","https://universaldependencies.org/","UPOS F1","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"UniversalDependencies-RO-RRT-v2.8-Cross-Domain-site.md","UniversalDependencies-RO-RRT-v2.8-Cross-Domain.md"
"Cross-domain Dependency Parsing","UD Romanian RRT Treebank v2.8 - cross-domain Dependency Parsing","https://universaldependencies.org/","UAS F1","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0/",,"UniversalDependencies-RO-RRT-v2.8-Cross-Domain-site.md","UniversalDependencies-RO-RRT-v2.8-Cross-Domain.md"
"Language Modeling","Wiki-Ro","https://github.com/dumitrescustefan/wiki-ro","Perplexity","MIT","https://mit-license.org/",,"Wiki-ro-site.md","Wiki-ro.md"
"Gender debiasing","Romanian word embeddings","https://github.com/LiroBenchmark/gender-bias","Modified-WEAT","CC BY-NC 4.0","https://creativecommons.org/licenses/by-nc/4.0/","https://github.com/LiroBenchmark/gender-bias/blob/main/bias_embed_ro.ipynb","romanian-word-embeddings.site.md","romanian-word-embeddings.md"
